domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,0.02949188454843217,0.15948011970573475,0.42732628474369544,0.1938168780488863,72.0
www.tagesspiegel.de,0.012040392545907252,0.1754380733388746,0.47581869553376904,0.19774845170092314,68.0
www.bild.de,0.014351160413660417,0.24267316491994284,0.4143948412698413,0.2657860836594122,60.0
www.faz.net,0.06032172893644755,0.22623383902129143,0.43975206481429424,0.2295286175450947,33.0
www.n-tv.de,0.061759309363476025,0.20280313450834989,0.4825070145903479,0.16718694560638328,33.0
www.zeit.de,0.02908061024996509,0.28120076569096447,0.4268073593073593,0.2720026066916032,31.0
www.welt.de,6.490500240500174e-05,0.1868863436340957,0.3488628814601037,0.19530339648708248,27.0
www.nzz.ch,0.13493442018739638,0.15521732855854997,0.46186772938261034,0.18546730257204957,26.0
www.diepresse.com,0.06115161353797718,0.20371773530594042,0.5213857733175915,0.2305131205856825,22.0
www.focus.de,-0.05670502645502645,0.2361271228951527,0.5252843915343915,0.2816176611899321,20.0
www.sueddeutsche.de,0.1327522246272246,0.1816001171038656,0.573371102802921,0.1497223276620426,11.0
www.morgenpost.de,0.07839506172839508,0.2067568957089036,0.4170987654320988,0.1794811576172924,9.0
orf.at,-0.10110615079365079,0.3007973560980567,0.4389335317460318,0.2863574436552926,8.0
www.tagesschau.de,0.04331589706589706,0.09254467460113615,0.38483826358826356,0.1991070492057876,7.0
www.dw.com,-0.01662037037037038,0.2654008828184696,0.5798842592592592,0.3509693412873303,6.0
sport.orf.at,0.07102272727272728,0.036239133452504485,0.20124999999999998,0.11693124760587595,4.0
vorarlberg.orf.at,0.15518518518518518,0.1386011834936615,0.5303703703703704,0.03948094294678233,3.0
www.dwdl.de,0.1708333333333333,0.06166103577895309,0.33749999999999997,0.10809268142560705,3.0
science.orf.at,0.09430014430014429,0.11398854585405083,0.4638708513708514,0.04694875589662495,3.0
tirol.orf.at,0.031523569023569016,0.04976098579108592,0.23825757575757578,0.2141686229021718,3.0
taz.de,0.043333333333333335,0.29227080289043966,0.42499999999999993,0.12963624321753367,2.0
www.globenewswire.com,0.22784090909090907,0.0,0.45113636363636367,0.0,2.0
kaernten.orf.at,0.3238888888888889,0.2302025409862871,0.5461111111111111,0.10449466877534534,2.0
steiermark.orf.at,0.059772727272727276,0.013820723450464338,0.6009090909090908,0.1401357075442431,2.0
www.freitag.de,-0.02203907203907202,0.015454470553405646,0.39566544566544565,0.3400415210870839,2.0
oe3.orf.at,0.0,1.0,0.0,1.0,1.0
frische-brise.blogspot.com,0.0,1.0,0.0,1.0,1.0
www.teltarif.de,0.0,1.0,0.0,1.0,1.0
www.transfermarkt.de,0.0,1.0,0.0,1.0,1.0
www.waz.de,0.0,1.0,0.0,1.0,1.0
www.spektrum.de,0.0,1.0,0.0,1.0,1.0
www.gamestar.de,0.0,1.0,0.0,1.0,1.0
netzpolitik.org,0.0,1.0,0.0,1.0,1.0
www.kino.de,0.0,1.0,0.0,1.0,1.0
www.kino-zeit.de,0.0,1.0,0.0,1.0,1.0
www.jungewelt.de,0.0,1.0,0.0,1.0,1.0
oesterreich.orf.at,0.0,1.0,0.0,1.0,1.0
fm4.orf.at,0.0,1.0,0.0,1.0,1.0
noe.orf.at,0.0,1.0,0.0,1.0,1.0
stadt-bremerhaven.de,0.0,1.0,0.0,1.0,1.0
ooe.orf.at,0.0,1.0,0.0,1.0,1.0
burgenland.orf.at,0.0,1.0,0.0,1.0,1.0
